Year	TotalPMID
1983	1
1985	12
1986	327
1987	1132
1988	1072
1989	663
1990	570
1991	513
1992	497
1993	529
1994	421
1995	512
1996	558
1997	385
1998	395
1999	379
2000	476
2001	439
2002	445
2003	505
2004	455
2005	481
2006	588
2007	689
2008	649
2009	470
2010	394
2011	57
